jugador;partidos_amonestado
Beyatt Lekoueiry;2
Biel Borra Font;1
Bilal Boukerchaoui;1
Bilal El Khannouss;1
Billy Gilmour;1
Bin Xu;1
Binyam Belay;1
Bo-Wei Kuo;1
Bobby De Cordova-Reid;2
Bodda Mouhsine;2
Bogdan Mykhaylichenko;1
Bogdan Racovițan;1
Bojan Ilievski;2
Bongwa Owa Matsebula;1
Bono;1
Borna Barišić;1
Boubacar Goumey;1
Bouchaib Arrassi;2
Boulaye Dia;1
Brad Pirioua;1
Brahim Díaz;1
Brandon Comley;1
Brandon Labrosse;1
Brayan Cortés;1
Brayan Gil;2
Brayan Landaverde;1
Brayan Vera;1
Breel Embolo;2
Bremer;1
Brendan Galloway;1
Brennan Johnson;3
Brian Rodríguez;1
Brudel Okana;1
Bruno Ecuele Manga;1
Bruno Fernandes;4
Bruno Guimarães;5
Bruno Langa;1
Bruno Miranda;1
Bruno Oliveira;1
Bruno Petković;2
Bryan Alceus;1
Bryan Cristante;1
Bryan Mbeumo;1
Bryan Zaragoza;1
Bryan-Clovis Ngwabije;1
Brynjólfur Darri Willumsson;1
Bukayo Saka;1
Caio Lucas;4
Caleb Yirenkyi;1
Callum O'Dowda;1
Callum Styles;1
Calvin Bassey;3
Calvin Verdonk;1
Cameron Burgess;1
Camilo Saldaña;3
Camilo Vargas;1
Caoimhin Kelleher;1
Carl Fred Sainté;1
Carlens Arcus;4
Carlos Augusto;1
Carlos Baleba;4
Carlos Cuesta;1
Carlos González;1
Carlos Gruezo;2
Carlos Mora;2
Carlos Richards;1
Carlos Rodríguez;2
Carlos Sejas;1
Carlos Vivas;1
Carlos Zambrano;4
Carmelo Algarañaz;1
Casemiro;4
Cecilio Waterman;1
Cedric Zesiger;2
Cenk Tosun;1
Chad Bertrand;1
Chancel Mbemba;3
Charalampos Charalampous;1
Charles Atipo;1
Charles De Ketelaere;1
Charlie Crew;1
Charyyev Rasul;1
Che Adams;1
Cheng Jin;1
Cherif Ndiaye;1
Cherubin Basse-Zokana;1
Chico Banza;1
Chidozie Awaziem;1
Choco Lozano;2
Chris Mepham;2
Chris Richards;7
Christ Inao Oulaï;2
Christ Makosso;1
Christian Eriksen;1
Christian García;2
Christian Nørgaard;5
Christian Pulišić;2
Christian Reyes;1
Christofer Gonzáles;1
Christoph Baumgartner;3
Christophe Nduwarugira;1
Christopher Attys;2
Christopher Baah;1
Christopher Martins;1
Christopher Wooh;2
Christos Sielis;1
Christos Zafeiris;3
Chun-Lok Tan;1
Chun-Ming Wu;1
Claude Niyomugabo;1
Claudio Kammerknecht;1
Clinton Mata;1
Clésio Baúque;1
Cody Gakpo;1
Collins Sichenje;1
Connor Metcalfe;1
Connor Roberts;1
Conor Bradley;2
